County Name,COL Score
"Harvey County, Kansas",83
"McPherson County, Kansas",81
"Linn County, Kansas",81
"Osage County, Kansas",81
"Shawnee County, Kansas",81
"Jackson County, Kansas",80
"Franklin County, Kansas",79
"Geary County, Kansas",79
"Thomas County, Kansas",78
"Coffey County, Kansas",78
"Gray County, Kansas",78
"Kearny County, Kansas",78
"Saline County, Kansas",77
"Kingman County, Kansas",77
"Sumner County, Kansas",77
"Ottawa County, Kansas",77
"Morris County, Kansas",77
"Grant County, Kansas",76
"Sheridan County, Kansas",76
"Scott County, Kansas",76
"Ford County, Kansas",76
"Nemaha County, Kansas",76
"Dickinson County, Kansas",76
"Doniphan County, Kansas",76
"Seward County, Kansas",75
"Stevens County, Kansas",75
"Clay County, Kansas",75
"Lyon County, Kansas",75
"Atchison County, Kansas",75
"Haskell County, Kansas",75
"Wallace County, Kansas",75
"Reno County, Kansas",74
"Rawlins County, Kansas",74
"Morton County, Kansas",74
"Cheyenne County, Kansas",74
"Trego County, Kansas",73
"Kiowa County, Kansas",73
"Marion County, Kansas",73
"Logan County, Kansas",73
"Greeley County, Kansas",73
"Anderson County, Kansas",73
"Sherman County, Kansas",73
"Wichita County, Kansas",73
"Hamilton County, Kansas",73
"Barton County, Kansas",73
"Hodgeman County, Kansas",72
"Marshall County, Kansas",72
"Ellsworth County, Kansas",72
"Brown County, Kansas",72
"Chase County, Kansas",72
"Cherokee County, Kansas",72
"Cowley County, Kansas",71
"Pratt County, Kansas",71
"Washington County, Kansas",71
"Chautauqua County, Kansas",71
"Bourbon County, Kansas",71
"Russell County, Kansas",71
"Gove County, Kansas",71
"Meade County, Kansas",71
"Harper County, Kansas",71
"Wilson County, Kansas",71
"Lane County, Kansas",71
"Cloud County, Kansas",71
"Decatur County, Kansas",71
"Crawford County, Kansas",71
"Rooks County, Kansas",71
"Mitchell County, Kansas",70
"Pawnee County, Kansas",70
"Stanton County, Kansas",70
"Allen County, Kansas",70
"Graham County, Kansas",70
"Ness County, Kansas",70
"Clark County, Kansas",70
"Elk County, Kansas",69
"Rush County, Kansas",69
"Republic County, Kansas",69
"Lincoln County, Kansas",69
"Neosho County, Kansas",69
"Woodson County, Kansas",69
"Greenwood County, Kansas",69
"Phillips County, Kansas",69
"Norton County, Kansas",69
"Rice County, Kansas",69
"Labette County, Kansas",68
"Stafford County, Kansas",68
"Barber County, Kansas",68
"Edwards County, Kansas",68
"Oldham County, Kentucky",108
"Spencer County, Kentucky",97
"Boone County, Kentucky",96
"Woodford County, Kentucky",93
"Shelby County, Kentucky",93
"Bullitt County, Kentucky",92
"Scott County, Kentucky",90
"Grant County, Kentucky",90
"Warren County, Kentucky",89
"Fayette County, Kentucky",89
"Jefferson County, Kentucky",89
"Campbell County, Kentucky",88
"Kenton County, Kentucky",88
"Pendleton County, Kentucky",87
"Henry County, Kentucky",87
"Jessamine County, Kentucky",87
"Clark County, Kentucky",86
"Gallatin County, Kentucky",86
"Bracken County, Kentucky",85
"Meade County, Kentucky",84
"Trimble County, Kentucky",84
"Nelson County, Kentucky",84
"Madison County, Kentucky",84
"Anderson County, Kentucky",83
"Harrison County, Kentucky",83
"Hardin County, Kentucky",82
"Henderson County, Kentucky",82
"Garrard County, Kentucky",82
"Bourbon County, Kentucky",82
"Daviess County, Kentucky",82
"Simpson County, Kentucky",81
"Trigg County, Kentucky",81
"Mercer County, Kentucky",81
"Boyle County, Kentucky",81
"Hancock County, Kentucky",81
"Lyon County, Kentucky",81
"McLean County, Kentucky",81
"Johnson County, Kentucky",80
"Mason County, Kentucky",80
"Owen County, Kentucky",80
"Robertson County, Kentucky",80
"Allen County, Kentucky",80
"Franklin County, Kentucky",80
